Buddha Temple  ,Agartala,Tripura,India,"
", Buddhist Temples in Tripura support the fact that Buddhism is quite prevalent in the state. Archaeological evidences have suggested that Buddhists have inhabited the region since ancient times. Several Buddhist rulers ruled over the state and left permanent influences on the culture of the state.  ,"In the 16th century AD Buddhism was almost eliminated from this region owing to the defeat of Buddhist rulers. Its revival in Tripura began in 17th century AD and since then has permanently existed in the state. <br/> Tripura is the capital of one of the seven sister states of the North East named Agartala which is often refered in unison with Manipur and Mizoram probably because of the common culture, like the Scandinavian Countries (Norway, Sweden and Denmark). <br/> In the present scenario, Tripura houses a huge Buddhist population which comprises communities like Chakma, Uchai, Barua and Mog. Being an important aspect of socio cultural heritage of the state, Buddhist temples in Tripura finds a distinct position in the society. They not only attract the devotees but numerous tourists from distant regions.  ",Null,1 - 1.5 hours,Null
Chittangong Hills  ,Agartala,Tripura,India,"
"," The picturesque spectacle of the Chittagong hills assaults the senses of each and every onlooker. The hills comprise of mini mountains with multiple valleys and a small canyon, with 7 rivers meandering across the valleys. ",,Null,Null,Null
Gondacherra Wildlife Sanctuary  ,Agartala,Tripura,India,"
"," This enchanting sanctuary has maintained an untainted habitat for the multiple species of flora and fauna found here. Mammals like tigers, bison, wild horses, aquatic life as well as migratory birds can be seen here. ",,Null,Null,Null
Jagannath Temple  ,Agartala,Tripura,India,"
"," The Jagannath temple is a famous religious site located in Agartala in Tripura. Built by the Maharaja of Tripura of the Manikya Dynasty in the 19th century, the temple is situated in the Ujjayanta Palace grounds and is dedicated to the Hindu Gods- Jagannath, Balabhadra and Subhadra. The beauty of this spectacular place lies in the fact that the temple is as much a place of architectural beauty and prestige as it is of religious importance. The temple is also a beautiful place to click some amazing pictures, so be prepared to be taken aback by the sheer beauty of this location. ","This grand building till date continues to make Tripura proud because of its architectural magnanimity and is heavily influenced by the Islamic style of edifices. The base of the Jagannath temple is an octagon in shape with brightly coloured orange walls. Pyramidal conic structures adorn the pillars of the temple. It is widely believed that the Neelmadhav idol that is consecrated at Puri was donated from the Jagganath Bari Mandir of Tripura. The Nitya Puja, Bhoga offerings and distribution, along with the evening Aarti, are the main rituals that are followed here. The Aartis are especially a must-attend event to appreciate the beauty and simplicity of the temple and to be lost in the devotion of the Almighty. The Ratha Yatra, the annual festival of the temple, is an important festival that is celebrated with great zeal and fervour and is attended by hundreds of devotees each year. Summing it all up, the Jagganath Temple is not a place that you should miss visiting, to experience tranquillity and peace in its best and most pristine form. ",Null,Null,Null
Jampui Hill  ,Agartala,Tripura,India,"
"," Also known as the eternal hills of spring, the Jampui hills live up to their name, having pleasant climate all year round, providing ample opportunity for each visitor to take in the beauty that is this place. ","The lush green hills, with plantations of tea, orchids and orange on the slopes provide a good vantage point to view the valleys below. ",Null,Null,Null
Kunjaban Palace  ,Agartala,Tripura,India,"
"," Constructed by King Birendra Kishore Manikya in 1917, the Kunjaban Palace is the official residence of the Governor of Tripura. ","The intricate carvings and magnificent structures built here, along with the magnificent adjoining gardens make it a marvellous monument as a whole. ",Null,Null,Null
Neermahal  ,Agartala,Tripura,India,"
"," 'The Lake Palace of Tripura' or the Neermahal is the largest palace of its kind in the entire Indian Subcontinent. This architectural beauty rightly derives its name from its location, i.e. the middle of Rudrasagar Lake. It is one of the two water palaces that our country has. The former royal palace is an outcome of King Bir Bikram Kishore Manikya Bahadur's great perspective. It was the summer palace for king and his family. Even today, its highly ornated structure showcases the glorious past. The surrounding lawns and flower beds add seven stars to the beauty of this place. ","The evenings at Neermahal are spent watching the light and sound show. It makes people familiar with the cultural heritage of the place and its owners. The historicity comes with a tint of adventure too. Yes, the palace premises also include some water sports activities. This makes it a perfect combination of antiquity and thrill. Moreover, the palace has even gained fame for its 'Neermahal Water Festival.' A huge flock of people visit the mahal only to take part in the boat races organised by the board. This architectural marvel has a lot to give to its visitors. Therefore, whenever in Agartala make sure to turn your ways towards this gem of North-East. ",Null,Null,9:00 AM-5:00 PM   Adults- INR 5Children below 5 years- INR 3Still Camera- INR 10
Raima Valley  ,Agartala,Tripura,India,"
"," Known as the Mother of the Tribals of Tripura, this lush green valley, decorated with gardens and plantations has become a preferred tourist spot. ",,Null,Null,Null
Sepahijala Wildlife Sanctuary  ,Agartala,Tripura,India,"
"," Home to a variety of wildlife especially birds and primates, this place is not just a wildlife sanctuary but also an academic and research centre. Various lakes are present within the sanctuary, where boating facility is available. ","More than 150 species of residential birds, migratory birds, orchid garden, boating facilities, wild life, botanical garden, zoo, elephant joy-rides, rubber and coffee plantations beckon the tourists all through the year. The added visual incentive for animal-lovers is the famous spectacled monkey which is now a rare species. ",Null,Null,Null
Tripura Sundari Temple  ,Agartala,Tripura,India,"
"," Tripura Sundari Temple is a beautiful temple situated in Udaipur, around 55 km away from Agartala, Tripura. This opulent temple is 500 years old thereby making it the oldest temple present in the Udaipur district. Tripura Sundari Temple is one of the 51 Sakti Peethas and is the place where the toe of the right foot of Sati fell. Owing to its history and beauty, this majestic temple remains flooded by tourists all through the year. ","It is also said that Lord Vishnu had cut Sati into 51 pieces with his Sudarshana Chakra and the places where her parts fell came to known as the Shaktipeethas. One fascinating fact about the glorious temple is that it is in the shape of a tortoise and also known as Kurma Peeth. This temple of Kali, built in 1501, is a place where a steady stream of pilgrims makes almost endless animal sacrifices that leave the grounds as bloody as the temple's vivid-red shikhara. Devotees throng here during the dazzling Diwali festival (October/November) to bathe in the fish-filled tank by the temple. <br/><br/>Tripura Sundari Temple is believed to be one of the holiest Hindu shrines in the country. It is also known as Matabari and is served by priests in red-robes who minister to the Tripura Sundari. This splendid temple is the most attractive tourist destinations to which hundreds of pilgrims flock on a daily basis. <br/> ",Null,Null,"Summer (1 Mar - 15 Oct): 5:00 AM - 9:00 PM,Winter (16 Oct - 28 Feb): 5:30 AM - 8:30 PM  No entry fee"
Ujjayanta Palace  ,Agartala,Tripura,India,"
"," Years back, Ujjayanta Palace was a royal palace. Situated at the core of Agartala, the entire hustle-bustle of the city is centered around this palace. Built in 1901, it has magnificent tiled floors, curved wooden ceilings and lovely doors. The name 'Ujjayanta Palace' was given by Rabindranath Tagore, a regular visitor of Tripura. The State has owns a lineage of an independent royal state. The palace includes the Public halls, Throned room, Durbar Hall, Library, The Chinese Room and The Reception Hall. ","The Ujjayanta Palace is formerly a royal palace of the Tripura, situated in the state of Agartala. Earlier it also served as the meeting place for the Tripura Legislative Assembly until 2011 and now it serves as a museum and a tourist attraction of Agartala. The Palace stands on the banks of a small lake surrounded by the lush greenery of Mughal gardens in Agartala. Spread over an expanse of 28 hectares of parkland, this exotic palace has several Hindu temples dedicated to the deities, Lakshmi Narayan, Uma-Maheshwari, Kali and Jagannath. One of the largest museums in Northeast India, covering an area over 800 acres of land in the capital city it depicts the lifestyle, art, culture, tradition and utility crafts, beside the customs and practices of various communities residing in northeast India. Rabindranath Tagore named the palace which was bought down by the Tripura government in 1972-73 from the royal family. Maharaja Radha Kishore Manikya, the Tripura King invested in the construction of the Palace in the years 1899-1901. ",Null,1 - 2 hours,Null
Ummaneshwar Temple  ,Agartala,Tripura,India,"
"," Located within the Ujjayanta palace grounds, this saffron coloured temple is influenced by West Bengali culture. ",,Null,Null,Null
